[0.58] 对面这个队伍有沙暴
[5167.179] 快速翻走没问题
[5169.499] 反的是这边的位置挑衅
[5172.619] OK挑衅这个位置啊
[5174.399] 行吧
[5176.459] 哎先吼一波
[5179.1] 然后看我妈
[5182.239] 你挑衅我啊
[5183.639] 有没有可能我挑衅你呢
[5185.399] 没必要啊
[5186.119] 这跑友本来就没有
[5186.919] 我们快来看我妈啊
[5191.5] 感觉莫名其妙奇妙妙妙送了20个小月亮
[5193.88] 他这边先反走啊
[5196.18] 力度很高啊
[5197.06] 适应力也快
[5198.02] 速走反
[5201.3] 等会开空间呢
[5202.52] 我禁的换主哦
[5205.45] 原来是螳螂啊
[5206.69] 好久不见哦
[5207.45] 螳螂先吼一波
[5211.11] 伤害不错啊
[5211.99] 直接吼他一半咆哮有这么脆皮吗
[5213.55] 原来进要害了啊
[5214.63] 不然的话应该是吼40%啊
[5218.31] 把他挑衅一下
[5219.07] 没问题
[5223.96] 那筛朵的话
[5225.04] 这边要死了
[5226.24] 我切咆哮虎
[5227.12] 可以啊
[5236.98] 咬一口螳螂吧
[5238.14] 不需要咬螳螂
[5239.42] 其实直接切这个咆哮虎来威吓一下
[5242.2] 等会拍出他的咆哮虎
[5243.7] 然后直接开空间
[5246.6] 对不对
[5252.9] 还是跑位直接开空间
[5254.14] 然后后面我们有喷火
[5255.1] 他最后一只是这个这个大嘴鸥嘛
[5262.36] 还是先不开空间
[5265.4] 先不开空间
[5273.56] 空间还是得有爱管事啊
[5275.12] 几乎所有空间的都带爱管式的
[5277.24] 没爱管事怎么玩
[5278.4] 这空间还是马嘎螳螂啊
[5281.18] 他也自己只啃的马大螳螂
[5282.58] 没有其他的马拉手螳螂
[5284.71] 马拉螳螂
[5285.63] 你是我对手吗
[5286.51] 螳螂还在这给我马拉
[5287.79] 小心
[5288.11] 螳螂近战了也不过如此
[5291.57] 剑舞剑舞
[5292.33] 子弹拳
[5296.08] 哎呦剑舞子弹全来了
[5302.14] 实验突刺
[5313.16] 闪焰冲锋
[5326.08] 加一啊加一这子弹你肯定接不了
[5328.2] 螳螂怂一下没问题
[5330.56] 螳螂怂一下
[5333.31] 耗一下可以的
[5335.67] 那我们空间就开出来咯
[5339.28] 螳螂一个喷火就死的事情
[5341.58] 白天老复原能力
[5343.18] 哪里跑
[5345.93] 后面谁一位咸鱼
[5347.19] 蛐蛐儿罢了
[5347.85] 一位玄鱼
[5351.04] 我会闪现冲锋推
[5352.38] 当推空开出空间啊
[5353.88] 接下来我们就有出手权了
[5355.44] 你不是喜欢子弹拳吗
[5358.989] 喜欢子弹拳是吧
[5372.74] 闪现冲锋推他了
[5386.86] 主要他后面还有个大嘴鸥啊
[5388.66] 哎呀这个雨天烦得很呐
[5393.68] 螳螂干一波送了
[5404.88] 螳螂走
[5405.6] 他还是要走啊
[5406.56] 还是要走
[5408.2] 换成大嘴鸥来了
[5409.32] 没问题
[5411.84] 那我高音吼一波
[5413.04] 你怎么说
[5414.789] 山中推压个血线
[5416.189] 然后高音吼一波
[5416.949] 能不能杀他
[5417.589] 打了19%的血
[5418.629] 来一下
[5419.409] 高音来一波兄弟
[5422.53] 天气是我啊呜合不合适
[5426.199] 大头大头死了
[5426.879] 大头死了
[5427.399] 好的结束了
[5428.48] 我这只有玄玉
[5429.84] 这个反正打不死
[5430.44] 不管他大嘴鸥
[5431.48] 只要死了
[5432.14] 他的螳螂就是个废物啊
[5433.7] 我后面煤炭过一喷就死啊
[5435.08] 你随便反杀了我谢谢
[5437.24] 那又怎么样
[5439.08] 这个并不怎么样啊
[5440.62] 空间在啊
[5443.29] 大嘴鸥都死了
[5444.63] 废人一个了呀
[5445.67] 你还打什么呀
[5446.89] 我怕你不成
[5451.6] 因为玄羽本来就打不死啊
[5453.16] 你随便他的呀
[5455.24] 因为玄羽无所谓
[5456.24] 关键这个大嘴鸥死不死
[5457.2] 大嘴鸥
[5457.52] 他如果是气势必带的话
[5458.8] 很脆皮的啊
[5459.6] 我们这把点了
[5460.52] 那现在他就没有雨天了
[5461.68] 再也没有雨天了
[5462.76] 结束了
[5466.5] 你随便上啊
[5467.46] 你随便上
[5468.24] 螳螂还来
[5469.14] 那你觉得我后面没有煤炭龟吗
[5473.1] 你是觉得我后面没有煤炭龟吗
[5487.7] 唐人咆哮
[5488.38] 我要拍一个
[5502.72] 高音
[5506.82] 喷火
[5510.1] 保护一下吧
[5510.7] 保护一下
[5514.84] 保护一下吧
[5517.4] 要杀你便杀
[5534.82] 空间下自己保护一下
[5536.14] 这样好吗
[5536.76] 没什么不好的
[5538.53] 他击掌肯定拍
[5539.75] 这边无所谓了啊
[5540.85] 这边都无所谓了
[5541.77] 因为幽尾玄鱼本来也是个废人
[5543.45] 子弹全杀了
[5544.25] 我得得得得得哎呀
[5547.25] 什么垃圾子弹拳呢
[5548.55] 这就是你马大堂龙的子弹拳呢
[5550.65] 没想到不过如此啊
[5552.05] 可惜了啊哈哈
[5554.05] 马化腾螂子弹拳经典啊
[5555.85] 当年那个卢卡利欧适应力子弹拳也没打死
[5558.41] 伤害斗啊
[5559.11] 2014年的时候
[5560.67] 那个是色军围巾上一朵
[5562.75] 结果卢卡利欧玛嘎拉势力喔
[5564.95] 一个子弹拳打不死
[5566.11] 差一点垃圾
[5568.31] 我只能说
[5569.71] 那你这还说个屁啊
[5573.31] 这喷火不清场了吗
[5578.76] 接着吼高音
[5581.96] 喷火是不是拉完了
[5584.42] 这都打不死
[5585.72] 还剑舞子弹拳
[5588.87] 螳螂
[5589.39] 你还是回去吧
[5591.95] 螳螂怂一下
[5592.71] 这也没有什么意义啊
[5594.45] 空间这么漫长
[5595.57] 而且螳螂根本打不过煤炭龟
[5597.13] 他还硬打
[5597.95] 那冲死那也无所谓
[5599.33] 是不是这都无所谓啊
[5604.62] 关键是什么时候来开出这个空间
[5607.04] 保证够用
[5611.14] 他首发的是虎和鱼
[5612.84] 后面的话大嘴和螳螂
[5614.5] 如果不是螳螂
[5615.38] 是其他人的话
[5617.23] 呃
[5617.63] 是桥龙行不行
[5618.93] 桥龙的话电光束也不好打呀
[5622.09] 我们有晴天的
[5623.71] 他也要抢天气
[5629.9] 看我妈喷火
[5632.5] 他的咆哮
[5633.34] 我带了个挑衅呢
[5634.6] 唉还可以挑衅你
[5638.18] 但是我们这个比较灵活
[5640.62] 如果是770的话
[5642] 你先拍住近跑友
[5643.92] 你先拍住那个啥
[5645.08] 拍住他
[5645.64] 可能有挑衅的
[5646.56] 像鼠鼠啊
[5651.76] 哎呀你看这空间队还是比较容易打的
[5654.04] 容易打
[5659.74] 再把那个谁优化一下
[5661.14] 我这都是有个队友啊
[5663.14] 都是打酱油的角色啊
[5664.86] 我就不点名是哪个队友了
